Title,URL,Company_Name,Location,Hiring_Status,Date,Job_Description,Industry,Employment_Type,Seniority_Level,Job_Function
"
            
        Conversational AI Designer
      
          ",https://in.linkedin.com/jobs/view/conversational-ai-designer-at-uniphore-3429198980?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=z70M3FToyjJlj2EjQrnZ4g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Uniphore
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2022-12-12,"Uniphore is the global leader in Conversational Automation. Every day, billions of conversations take place across industries — customer service, sales, HR, education and more. Whether they are human to human, human to machine or machine to machine, conversations are at the heart of everything we do, and the new currency of the enterprise.

At Uniphore, we believe companies that best understand and act on those conversations will win. We have built the most comprehensive and powerful conversational automation platform that combines conversational AI, workflow automation, and RPA (Robotic Process Automation) with a business user-friendly-UX (User Experience) in a single integrated platform to transform and democratize customer experiences across industries.

Job Description

We are looking for a Conversational AI Designer to join our team, who can design creative and unique conversation flows. The ideal candidate combines conversation design experience with an inventor’s spirit and a passion for teaching. You will design leading-edge conversational experiences for Netomi customers, and also develop, articulate, and promote best practices in the field of conversational design.

Responsibilities

Engage with clients to understand their business use cases, their customer personas, and intents for the chatbot solution

Research and analyze intents and associated customer journeys

Analyze transcripts of user interactions and document their personas and language in order to create grammars and interaction models (intents, utterances, slots, and slot values)

Create bot design documents, including bot personas, example dialogs, conversation flow diagrams, error handling patterns

Design effective, innovative, and delightful conversational experiences using user-centric design methodologies.

Work directly with developers, integrators, architects, and QA to build and iterate on the designs

Write effective and natural dialogues

Create prototypes (mock-ups), wireframes, and templates that clearly convey the conversation design to customers and development teams

Design end-to-end conversational interactions, including what can go wrong, and how

When needed, design and lead different types of testing (A/B, focus groups, usability testing, QA), synthesize results, and iterate based on results to ensure customer-centric and highly usable products

Analyze dialogues and user interaction with live bot/assistants and make recommendations for improving user experience

Requirements

2-4 years of relevant design experience in conversational and AI design spaces

Experience creating multiple demos or prototypes showcasing the bleeding edge capabilities of conversational design

Experience communicating technical requirements and solutions to internal and external audiences

Experience with working directly with client stakeholders of all levels

Experience using Agile development practices

Exceptional written and verbal communication skills

Job Description

We are looking for a Conversational AI Designer to join our team, who can design creative and unique conversation flows. The ideal candidate combines conversation design experience with an inventor’s spirit and a passion for teaching. You will design leading-edge conversational experiences for Netomi customers, and also develop, articulate, and promote best practices in the field of conversational design.

Uniphore is an equal opportunity employer committed to diversity in the workplace. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, disability, veteran status, and other protected characteristics.

For more information on how Uniphore delivers business value using Conversational Automation, please visit www.uniphore.com

All applicants - to review our privacy notice, please click here","
          Software Development
          ","
          Full-time
        ","
            Entry level
          ","
            Design, Art/Creative, and Information Technology
          "
"
            
        Senior Conversational AI Bot Developer
      
          ",https://www.linkedin.com/jobs/view/senior-conversational-ai-bot-developer-at-activesoft-inc-3428089850?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=wYNMs%2F6iq3ko6w2RMCRIuw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            ActiveSoft, Inc
          ","
            New Jersey, United States
          ","
         Be an early applicant
      ",2023-01-05,"Job Responsibilities:




Design high impact conversational experiences for Service Desk customers that span devices, channels, and modalities
Create design deliverables, including bot personas, sample dialogs, and conversation flow diagrams
Identify new conversational patterns and maintain documentation for future application
Draft content for conversational experiences and collaborate closely with content strategists to match brand and product standards
Understand and be able to design in tandem with the capabilities of Natural Language Understanding and AI for optimal recognition
Coordinate with user experience researchers to perform impactful research efforts across design phases, and translate insights into actionable recommendations and designs
Collaborate with developers and tech partners to ensure designs are correctly translated into build.




Skills and Experience Required:




Deep understanding in design thinking methodologies and practices
Deep understanding & application of Conversation Design best practices
Proficient understanding of AI design & Natural Language Processing
Effective time-management and cross-collaboration skills
Experience using conversation design tools like BotMock, BotSociety, or Voiceflow, or experience using virtual assistant platforms like Kore.AI, or DialogFlow
Experience using Kore.ai for bot development is required.
4-6 years’ experience in Java Script
3-5 years diverse experience working in the Conversation Design, User Experience Design, or Content Strategy




Desired:




Experience creating conversational experiences in the realm of Pharmacy Benefits Management and Health care industry.
Familiarity with Jira and Agile development processes.




Powered by JazzHR




DTMHWduTOU","
          Internet Publishing
          ","
          Full-time
        ","
            Mid-Senior level
          ","
            Engineering and Information Technology
          "
"
            
        Data Scientist
      
          ",https://za.linkedin.com/jobs/view/data-scientist-at-capitec-3425185268?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=%2Fmbd6B4nnz%2FS5zahJ58IOQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Capitec
          ","
            Stellenbosch, Western Cape, South Africa
          ","
         Be an early applicant
      ",2022-12-10,"Apply By

We're on the lookout for energetic, self-motivated individuals who share our passion for service in the banking industry. To be part of the journey, follow the steps below:

To see what life at Capitec is all about and complete a short assessment, please click here !
Once you have completed the above finalize your application by clicking apply below

Purpose Statement

To assist in building and delivering the AI strategy to ensure Capitec is able to compete in a fast changing landscape where data science is a key future-oriented strategic differentiator.
To help automate and improve processes through data science, and create new products and services, and assist with improved decision making based on data.
To design and implement machine learning models to better understand the drivers of business performance and enable improved management decision-making.

Education (Minimum)

Honours Degree

Education (Ideal Or Preferred)

Masters Degree

Knowledge and Experience

Minimum

Knowledge

Solution and experimental design for model development
Machine learning development and underlying theory and assumptions of techniques.
Predictive modelling techniques (statistical and machine learning) and deployment
Source control systems e.g. Git, Bitbucket, or SourceTree
Relational database technologies
Data Science lifecycle and applicable skills within

Experience

2-5 years working experience in data science, machine learning and integration of developed solutions
Business analysis and requirements gathering
Reproducible coding experience and working with source control tools e.g. Git, Bitbucket
Experience in deploying models into production
Spark, Hadoop or similar big data coding experience
Working in remote environments, e.g. Docker, Linux
Working in cloud environments, e.g. Azure, AWS

Ideal

Knowledge
Data analysis
Solution and experimental design
Machine learning model architecture (technical design and implementation processes)
Specialist in one or more specific machine learning competencies, e.g. NLP, Deep Learning etc.
Understanding of:
Underlying theory and application of machine learning models must be able to understand underlying principles and theory and be able to teach others.
Best practices for data science
Ethical AI design principles
Capitec Data Science lifecycle
Capitec DPLC

Experience

Exposure to leading in multiple functional/technical areas

Skills

Analytical Skills
Attention to Detail
Communications Skills
Numerical Reasoning skills
Problem solving skills

Additional Information

Clear criminal and credit record

Capitec is committed to diversity and, where feasible, all appointments will support the achievement of our employment equity goals.","
          Banking
          ","
          Full-time
        ","
            Entry level
          ","
            Engineering and Information Technology
          "
"
            
        Game Design Internship
      
          ",https://www.linkedin.com/jobs/view/game-design-internship-at-blizzard-entertainment-3294779679?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=8voy6N3aq3pznbuwiJ5duQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Blizzard Entertainment
          ","
            Irvine, CA
          ","
         Actively Hiring
      ",2022-12-24,"Job Title




Team Name:




Game Design Internship




Requisition ID




R017868




Job Description




Design Internship




Your Platform 




At Activision Blizzard we are dedicated to creating the most epic entertainment experiences, driven by our company values and passion, Activision Blizzard creates worlds with the focus to entertain the universe. We are looking for talented and innovative students to join our team for the 2023 summer. All interns will receive a meaningful project and an unparalleled experience. We’ll provide the tools and resources you need to learn. The challenging and creative work you do throughout your internship will directly impact the team you are contributing on.




All interns will be given the choice to work remotely or relocate to the internship location. The company will cover relocation services and will provide a living stipend to supplement housing, utility, and office supply costs.




Player Profile 




Must be currently pursuing a bachelors or masters degree and graduating December 2023 or later. 
Available for a 12-week internship starting in late May or late June. 
Familiarity with 3D level design tools (UnrealEd, Kismet, Maya, Max, or similar 3D editor). 
Intuitive understanding of how video games work and why people play them. 
Programming/scripting experience in C/C++, Lua or other languages is a plus. 
Passionate about learning what it takes to be a successful game designer in the video game industry. 
Ability to receive feedback and implement. 
Applications with a portfolio link are highly encouraged. 
We love hearing from anyone who is enthusiastic about changing the games industry. Not sure you meet all qualifications? Let us decide! Research shows that women and members of other under-represented groups tend to not apply to jobs when they think they may not meet every qualification, when, in fact, they often do! At Activision Blizzard, we are committed to creating a diverse and inclusive environment and strongly encourage you to apply.




Internship Opportunities 




World/Level Design: Create gameplay experiences including quests, encounters and other content driven moments applying layout and scripting skills.   




 




AI Design: Build compelling bosses, enemies and encounters. 




 




Core Gameplay Design: Design, craft and implement a robust sandbox of gameplay systems. 




 




Systems Design:  Drive long-term player engagement through various game wide systems such as combat and rewards. 




 




UX Design: Identify and mitigate game-to-user communication issues to provide cohesive, predictable, and desirable effects. 




Your Mission




Be part of our team of designers building compelling worlds, systems and gameplay on one of Blizzard’s award-winning franchises.
Work closely with Design Leadership on level design layout, scripting events, systems implementation, design documentation, and all things gameplay-related.
Work closely with a mentor to level up your technical skills, design sensibilities, and build a strong work ethic.
Participate in learning and development tech talks to understand how our employees come together to launch AAA games. 




Our World




Activision Blizzard, Inc. (NASDAQ: ATVI), is one of the world's largest and most successful interactive entertainment companies and is at the intersection of media, technology and entertainment. We are home to some of the most beloved entertainment franchises including Call of Duty®, World of Warcraft®, Overwatch®, Diablo®, Candy Crush™ and Bubble Witch™. Our combined entertainment network delights hundreds of millions of monthly active users in 196 countries, making us the largest gaming network on the planet!




Our ability to build immersive and innovate worlds is only enhanced by diverse teams working in an inclusive environment. We aspire to have a culture where everyone can thrive in order to connect and engage the world through epic entertainment. We provide a suite of benefits that promote physical, emotional and financial well-being for ‘Every World’ - we’ve got our employees covered!




The videogame industry and therefore our business is fast-paced and will continue to evolve. As such, the duties and responsibilities of this role may be changed as directed by the Company at any time to promote and support our business and relationships with industry partners.




Activision Blizzard is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law and will not be discriminated against on the basis of disability.




Rewards




Subject To Eligibility Requirements, The Company Offers Comprehensive Benefits Including




We provide a suite of benefits that promote physical, emotional and financial well-being for ‘Every World’ - we’ve got our employees covered.




Medical, dental, vision, health savings account or health reimbursement account, healthcare spending accounts, dependent care spending accounts, life and AD&D insurance, disability insurance;
401(k) with Company match, tuition reimbursement, charitable donation matching;
Paid holidays and vacation, paid sick time, floating holidays, compassion and bereavement leaves, parental leave;
Mental health & wellbeing programs, fitness programs, free and discounted games, and a variety of other voluntary benefit programs like supplemental life & disability, legal service, ID protection, rental insurance, and others;
If the Company requires that you move geographic locations for the job, then you may also be eligible for relocation assistance.




Eligibility to participate in these benefits may vary for part time and temporary full-time employees and interns with the Company. You can learn more by visiting https://www.benefitsforeveryworld.com/.




In the U.S., the standard base pay range for this role is $20.00 - $50.00 Hourly. This base pay range is for the U.S. and is not applicable to locations outside of the U.S. Actual amounts will vary depending on experience, performance and location. In addition to a competitive base pay, employees in this role may be eligible for incentive compensation. Incentive compensation is not guaranteed.","
          Computer Games
          ","
          Internship
        ","
            Internship
          ","
            Design, Art/Creative, and Information Technology
          "
"
            
        Research Scientist - Cell Biology
      
          ",https://uk.linkedin.com/jobs/view/research-scientist-cell-biology-at-exscientia-3410446089?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=O6qs%2BZ6yyILp2nK7n94h%2Bg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Exscientia
          ","
            Oxford, England, United Kingdom
          ",,2022-12-22,"Exscientia is an AI-driven pharmatech company committed to discovering, designing and developing the best possible drugs in the fastest and most effective manner. Exscientia developed the first-ever functional precision oncology platform to successfully guide treatment selection and improve patient outcomes in a prospective interventional clinical study, as well as to progress AI-designed small molecules into the clinical setting. Our pipeline demonstrates our ability to rapidly translate scientific concepts into precision-designed therapeutic candidates, with more than 25 projects underway. By designing better drugs, faster, we believe the best ideas of science can rapidly become the best medicines for patients.

We are expanding our in vitro cell biology capabilities at our new state of the art laboratories in Oxford and are seeking experienced, motivated and dynamic individuals to join the cell biology /pharmacology team. This team provides critical data driving our drug discovery projects and is responsible for conceiving, developing and executing cellular assays in support of a range of target classes often in areas of novel biology. Successful applicants will be given the freedom to design, plan and execute a variety of experiments ensuring that the assays are fit-for-purpose and that data is appropriately quality-controlled. In our newly built laboratories, we have access to a wide array of assay technologies (FRET, luminescence, FACs, imaging) with liquid handling/automation capabilities and are continually striving to deploy the latest technologies and develop ever more efficient processes.

As the Research Scientist - Cell Biology you will have the opportunity to:

You will be expected to keep up with the latest scientific developments, evaluate new technologies and will have the opportunity to present both internally and externally. The cellular pharmacology team works closely with the Molecular pharmacology, Protein Sciences, Biophysics, Crystallography and AI-design teams to uncover innovative solutions to drug discovery against a variety of targets classes and indications.

We are looking to recruit full-time cell biologist with experience in assay development to help drive development of therapeutic small molecules with a focus on compound characterisation and the rapid identification of candidate molecules. This is primarily a laboratory-based positions with scope for continual learning and development and exposure to all scientific disciplines within the drug discovery process from hit Id to candidate selection.

Requirements

Ph.D in Biology, immunology, Pharmacology, or a related discipline or a BSc/MSc degree with significant relevant experience, preferably in the pharmaceutical or biotechnology industry.
Sterile techniques and cell culture
In vitro assay development and assay optimisation
Experience of screening and data analysis including dose response relationships
Practical understanding of a wide range of assay technologies such as FRET, flow cytometry and imaging
Flexible, adaptable and able to work across multiple projects
Excellent interpersonal and communication skills, both written and verbal, with ability to communicate technical information to a non-specialist audience


Benefits

Work together to make a positive contribution to patients by revolutionising the pharmaceutical industry through AI-driven discovery.
We will work with you to kick-start or further grow your career – from funding for professional development and conference attendance. To the opportunity to acquire valuable skills, work on problems that matter, and learn from world-class technological and scientific leaders.
Opportunity to join an inclusive, collaborative and intellectually stimulating culture
We will work with you to provide a highly competitive compensation as we continue to grow and thrive.
Our team’s health and well-being is important to us we offer a generous holiday allowance, provide flexible working and remote working to encourage all of our team to manage their own work, time and life along with wellbeing and mindfulness support.
When you are in the office, you will have access to a kitchen stocked with an endless supply of food for all employees. Along with access plenty of break out areas so you can get to know the people you are working with. Some of the best ideas start with a coffee break!
Hear from our team why they enjoy working here","
          Technology, Information and Internet
          ","
          Full-time
        ","
            Not Applicable
          ","
            Other
          "
"
            
        AI Design & Development Engineer
      
          ",https://www.linkedin.com/jobs/view/ai-design-development-engineer-at-welocalize-3331968547?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=crlaJffGfz%2BjIOCCn0Cwdg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Welocalize
          ","
            European Union
          ","
         Actively Hiring
      ",2022-10-31,"As a trusted global transformation partner, Welocalize accelerates the global business journey by enabling brands and companies to reach, engage, and grow international audiences. Welocalize delivers multilingual content transformation services in translation, localization, and adaptation for over 250 languages with a growing network of over 400,000 in-country linguistic resources. Driving innovation in language services, Welocalize delivers high-quality training data transformation solutions for NLP-enabled machine learning by blending technology and human intelligence to collect, annotate, and evaluate all content types. Our team works across locations in North America, Europe, and Asia serving our global clients in the markets that matter to them. www.welocalize.com




To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.




MAIN PURPOSE OF THE JOB




The role is key to the design, development and maintenance of the machine learning (ML) software infrastructure. This infrastructure has the ML flow platform as a core and manages all ML experiments with associated data assets. This infrastructure also facilitates and manages the the deployment of production ML models to a container repository for production access via AWS Fargate.




The role also demands very close collaboration with the AI R&D engineers, solving varied software issues including lower-layer platform (e.g. CUDA) technical issues. A key part of the role is to provide guidance and encourage ‘enterprise’ concepts and approaches to development, bringing prototype code to a robust, scalable deliverable.




MAIN DUTIES




The following is a non-exhaustive list of responsibilities and areas of ownership of the AI R&D Developer:
Owns the overall infrastructural and back-end development of the ML software project, working closely with the ML engineers to implement the functionality they require
Responsible for collaboration with other platform developers (e.g. Pantheon, 3rd parties) to ensure our ML products (models) can be effectively, efficiently and reliably accessed and consumed via API.
Advocates best software development practices among the team and mentors both new and more established coders to improve their skills (optimization, etc.).
Act as an ‘expert voice’ on both internal and external (client/vendor) technical calls
Owns (admin) the team software repository
Stay up-to-date with development state-of-the-art technologies and development concepts




Requirements




Education Level
Bachelor's degree (BSc.) from a college or university in related field, or equivalent combination of education and experience.
Experience
Required:
5 years extensive experience working on a Linux OS, 2+ years at admin level
3 years extensive Python programming experience (scripting, Python as OOP)
Experience with the following technologies:
Git
Cuda
Docker
Desirable:
AWS infrastructure/deployment experience
ML project/deployment experience
Data engineering
Data structures (lists, arrays, tuples, dictionaries, etc.)
Algorithms (searching, sorting)
Architecture (optimisation, distributed processing, etc.)




Key Competencies Required For This Role




High proficiency in development concepts and efficient programming
Excellent Customer Service
Naturally inclined towards Quality in all areas of responsibility
Persuasive Communicator with a focus on transparency and building relationships
Problem solver with a drive for Continuous Process Improvement
Patient when explaining technical concepts to those unfamiliar or struggling to understand. This is key to the mentoring aspect of the role.
Comfortable with honest, constructive criticism (both giving and receiving) and debate among team members. This way we investigate all ideas and settle on the best way forward
Curious, technical, analytical mindset","
          Translation and Localization
          ","
          Full-time
        ","
            Associate
          ","
            Engineering and Information Technology
          "
"
            
        AI Designer
      
          ",https://uk.linkedin.com/jobs/view/ai-designer-at-tt-games-ltd-3383230560?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=mHs9EfyvUmFpVH0iO5ZMNg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            TT Games Ltd
          ","
            Knutsford, England, United Kingdom
          ","
         Be an early applicant
      ",2022-12-23,"Every great story has a new beginning, and yours starts here.




Welcome to Warner Bros. Discovery… the stuff dreams are made of.




Who We Are…




When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what’s next…




From brilliant creatives, to technology trailblazers, across the globe, WBD offers career defining opportunities, thoughtfully curated benefits, and the tools to explore and grow into your best selves. Here you are supported, here you are celebrated, here you can thrive.




TT Games was acquired by Warner Bros. in 2007 and went on to develop the hit LEGO games franchise. The company is proud to continue its mission to be the leading publisher of interactive entertainment for young gamers and their families.




Your New Role…




TT Games are looking for an AI Designer with proven experience on console or PC titles, to take on a key role on an exciting new LEGO game based on a major IP.




Your Role Accountabilities…




Under the direction of the Lead Designer, you will design high quality AI behaviours for co-op, NPC, and enemy characters, which support the vision and creative pillars of the game and IP.
Work with gameplay coders, artists, designers, and animators to create engaging and fun AI behaviours from prototype to final.
Ensure that the behaviours are distinctive, varied and are clearly understood by the player.
Clearly pitch AI designs and features and liaise with designers and other disciplines to ensure the systems are understood and supported in the game.
Define and maintain design documentation, and ensure this is clearly communicated across the team.
Via regular reviews you will iterate on feedback from the Lead & other designers, to meet the agreed quality bar.
Closely collaborate with other disciplines, (gameplay coders, artists, animation), understanding their role and building a positive relationship to ensure that they are involved in the design process.
Follow design’s best practice, and ensure your work maintains stability & quality throughout development.
Take part in design reviews, and be willing to take feedback and produce solutions.
Play the game regularly, providing feedback in a clear and constructive manner.
Work with the production teams & lead designer to verify that your task estimations are reasonable, communicating on progress and delivering your work to deadlines at quality.
Encourage a culture of professionalism, collaboration, and respect.




Qualifications & Experience…




Proven games design experience in AAA titles, with a title shipped in an AI design position.
Knowledge of game and AI design with a good understanding of enemy and NPC behaviours, combat and encounter design, balancing, difficulty, progression & usability. You should be able to describe the different approaches that create compelling and AI, NPC and enemy behaviours in modern games.
A passion for creating fun and accessible games for children and families.
Good interpersonal and communication skills (oral & written).
Experience of scripting, ideally in Blueprint.
Excellent rapid prototyping skills.
Experience of games development and shipped at least one action or action/adventure title on console or PC title.
Ability to take direction and feedback well and self-critique.
Good problem-solving skills.
Can understand and consider technical considerations related to design.
Experience of UE4/ UE5 an advantage.




How We Get Things Done…




This last bit is probably the most important! Here at WBD, our guiding principles are the core values by which we operate and are central to how we get things done. You can find them at www.wbd.com/guiding-principles/ along with some insights from the team on what they mean and how they show up in their day to day. We hope they resonate with you and look forward to discussing them during your interview.




The Legal Bits…




Warner Bros. Discovery embraces the opportunity to build a workforce that reflects the diversity of our society and the world around us. Being an equal opportunity employer means that we take seriously our responsibility to consider qualified candidates on the basis of merit, regardless of sex, gender identity, ethnicity, age, sexual orientation, religion or belief, marital status, pregnancy, parenthood, disability or any other category protected by law.




If you’re a qualified candidate with a disability and you need a reasonable accommodation in order to apply for this position, please contact us at recruitadmin@warnermedia.com.","
          Entertainment Providers
          ","
          Full-time
        ","
            Entry level
          ","
            Design, Art/Creative, and Information Technology
          "
"
            
        NLP Engineer
      
          ",https://tw.linkedin.com/jobs/view/nlp-engineer-at-fyte-3393790640?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=zAaE5maKmpG8aBu21gMNdg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Fyte
          ","
            Taipei, Taipei City, Taiwan
          ","
         Be an early applicant
      ",2022-11-14,"Client: AI-Medical SaaS provider




We are looking for a Natural Language Processing (NLP) Engineer to help us improve our NLP tools and create a framework for developing next-generation NLP/AI applications.
NLP Engineer’s responsibilities include developing syntactic & semantic grammar, knowledge representations, rule-based or machine-learning-based NLP pipeline tools and inference engines for intelligent dialogue systems and cloud services.
To succeed in this role, you should possess outstanding skills in problem analysis, coding, statistical analysis, machine learning methods, and knowledge representation techniques.
Your ultimate goal is to develop efficient NLP tools for near-human-level natural language understanding (NLU) and Explainable AI.
Design Chinese/English Syntactic & Semantic Grammar.
Design knowledge representations (Lexicon, Ontology, Logical Form, Knowledge Graph, and Common Sense Knowledge Rules).
Develop rule-based or machine-learning-based NLP pipeline tools (Segmentation, NER, Syntactic & Semantic Parsers, Co-reference Resolution, Discourse Analysis, and Logical Form to Knowledge-Graph Conversion).
Develop Knowledge Graph based Inference Engines for Question Answering, Free Chatting, and Persona Assistant.
Develop automatic Domain Language Model and Ontology Generation tools.
Develop automatic Knowledge Acquisition tools including Common Sense Crowd Sourcing tools.
Requirements:




Proven experience as an NLP pipeline development Engineer or similar role.
Understanding of NLP techniques for text and knowledge representation, syntactic and semantic parsing techniques, data structures and modeling.
Ability to effectively design software architecture.
Deep understanding of text representation techniques (such as n-grams, bag of words, sentiment analysis etc), statistics and classification algorithms.
Knowledge of Python or Java.
Ability to write robust and testable code.
Experience with machine learning frameworks and libraries.
Strong communication skills.
An analytical mind with problem-solving abilities.
Degree in Computer Science, Mathematics, Computational Linguistics or similar field.","
          Staffing and Recruiting
          ","
          Full-time
        ","
            Entry level
          ","
            Engineering and Information Technology
          "
"
            
        ML Engineer [Coimbatore]
      
          ",https://in.linkedin.com/jobs/view/ml-engineer-coimbatore-at-sivi-ai-3394891353?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=xBZAUSYe2wipJ%2Bsbn5AArw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Sivi AI
          ","
            Greater Coimbatore Area
          ",,2022-11-15,"HelloSivi is an AI design companion, it turns text content into visual designs instantly. We are a well-funded young thriving startup, looking for passionate Data Scientists with practical experience in image and text problems.

What is expected?

Passion to work on ML, DL, and related frameworks
Familiarity with at least one ML framework, like Pytorch, Tensorflow
Basic JS knowledge and client-side ML are a plus
Fair knowledge of cloud technologies
Problem-solving ability
Good communication and documentation skills


What do you get?

Work will be exciting, day in and day out you will be solving interesting problems
Train models on custom datasets and maintain them in production
You will get to work with proven Data Scientists, Software Engineers, and Architects
Chance to work on cutting-edge technologies
Good compensation
Startup culture
Mutual learning


We would like to see your portfolio with practical experience. Please share GitHub links and your web pages along with the CV.

hellosivi.com","
          Software Development
          ","
          Full-time
        ","
            Mid-Senior level
          ","
            Other
          "
"
            
        Experience Designer [Remote]
      
          ",https://www.linkedin.com/jobs/view/experience-designer-remote-at-braintrust-3428216812?refId=WBGyLRwAWja7icDxYLeapw%3D%3D&trackingId=EQ2nfKoqmivEVssMpOb%2Bnw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
            Braintrust
          ","
            San Francisco, CA
          ","
         Actively Hiring
      ",2023-01-07,"ABOUT US:

Braintrust is the only network that gives in-demand talent all the freedom of freelance with all the benefits, community and stability of a full-time role. As the first decentralized talent network, our revolutionary Web3 model ensures the community that relies on Braintrust to find work are the same people who own and build it through the blockchain token, BTRST. So unlike other marketplaces that take 20% to 50% of talent earnings, Braintrust allows talent to keep 100% of earnings and to vote on key changes to improve the network. Braintrust is working to change the way freelance works – for good.

JOB TYPE: Freelance, Contract Position (no agencies/C2C - see notes below)
LOCATION: Remote - United States only (TimeZone: EST | Partial overlap)
HOURLY RANGE: Our client is looking to pay $90 – $110/hr
ESTIMATED DURATION: 40h/week - Long term


THE OPPORTUNITY

US ONLY (no exception)

Preferred locations: Charlotte, San Francisco, Boston, NYC, LA, and Atlanta with hybrid work arrangements (in office 3 days a week)

What You’ll Be Working On

However, open to strong remote candidates.

A common purpose guides: to help make financial lives better by connecting clients and communities to the resources they need to succeed. Our Client’s Experience Design (XD) team creates world-class end-to-end digital experiences that are intuitive, innovative, engaging and inclusive.

They are a multi-disciplinary design organization with expertise across product design, user experience, conversational/AI design, creative direction, ux research and user testing, design program management, production design, content strategy, copywriting, and design technology.

The team is constantly defining, iterating, solving problems, and working together to find ways all their digital platforms can empower customers to reach their financial goals by designing and delivering next-level experiences that provide ease, convenience and safety while matching to individual needs and preferences.

As Designer you will

Design, optimize and deliver useful and elegant best-in-class digital experiences working from a multidisciplinary, holistic perspective from concept to execution and implementation – applying a broad range of product design capabilities across user experience and visual design to craft complete product and experience solutions
Partner with a diverse set of project stakeholders and cross-functional teams – including product management and engineering.
Collaborate with project-level researchers, technologists, designers and delivery managers
Deliver solid experience design deliverables across the design workflow with oversight, including: information architectures, user flows, wireframes, high fidelity designs, compositions, design specifications, redlines and prototypes.
Design digital experiences across web, mobile web, and native apps (iOS and Android)
Support and leverage evaluative testing across the customer journey, from rapid user testing to usability studies.
Evaluate and benchmark existing product and service experiences.
Work on multiple designs/projects, managing time and expectations with project stakeholders and design leaders, staying knowledgeable on project and product details.
Respect standards, reflect their design system patterns in work and champion best practices while also helping us set visions for innovative digital and technology experiences.
Use excellent visual, communication and storytelling skills.


You’re a Person Who Has (required Skills)

3+ years of industry design experience operating as an end-to-end multidisciplinary product designer, with capabilities across a range of design disciplines with a portfolio of designs that you’re proud of
Experience designing multi-channel consumer-facing apps, responsive web and websites including system, user, ecommerce and transactional experiences
Solid understanding of user-centered design principles and best practices and rapid ideation processes like Lean UX, Design Sprints, and Agile
A track record for working with cross-functional product development and design teams to ship customer-facing digital products
Ability to design with a design system and within brand guidelines
Experience utilizing quantitative and qualitative data to inform and inspire design
Proficient with InVision and Sketch
Financial services experience a plus


And you are a person who:

Is a self-motivated problem solver with a strong work ethic, reliable issue resolution and time management skills with an intense focus on achieving results
Works well with others, builds and nurtures strong relationships and fosters a diverse and inclusive environment
Has a strong interest in, and aptitude for learning new design and technology skills
Demonstrates strong listening, with solid communication, and presentation skills
Adapts quickly and positively to change


Apply Now!

ABOUT THE HIRING PROCESS:

Qualified candidates will be invited to do a screening interview with the Braintrust staff. We will answer your questions about the project, and our platform. If we determine it is the right fit for both parties, we'll invite you to join the platform and create a profile to apply directly for this project.

C2C Candidates: This role is not available to C2C candidates working with an agency. If you are a professional contractor who has created an LLC/corp around their consulting practice, this is well aligned with Braintrust and we’d welcome your application.

Braintrust values the multitude of talents and perspectives that a diverse workforce brings. All qualified applicants will receive consideration for employment without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or protected veteran status.

","
          Technology, Information and Internet
          ","
          Full-time
        ","
            Entry level
          ","
            Information Technology
          "
